aliceblue	f0f8ff
lightgreen	90ee90
antiquewhite	faebd7
lightgrey	d3d3d3
aqua	00ffff
lightpink	ffb6c1
aquamarine	7fffd4
lightsalmon	ffa07a
azure	f0ffff
lightseagreen	20b2aa
beige	f5f5dc
lightskyblue	87cefa
bisque	ffe4c4
lightslategray	778899
black	000000
lightsteelblue	b0c4de
blanchedalmond	ffebcd
lightyellow	ffffe0
blue	0000ff
lime	00ff00
blueviolet	8a2be2
limegreen	32cd32
brass	b5a642
linen	faf0e6
brown	a52a2a
magenta	ff00ff
burlywood	deb887
maroon	800000
cadetblue	5f9ea0
mediumaquamarine	66cdaa
chartreuse	7fff00
mediumblue	0000cd
chocolate	d2691e
mediumorchid	ba55d3
coolcopper	d98719
mediumpurple	9370db
copper	bf00df
mediumseagreen	3cb371
coral	ff7f50
mediumslateblue	7b68ee
cornflower	bfefdf
mediumspringgreen	00fa9a
cornflowerblue	6495ed
mediumturquoise	48d1cc
cornsilk	fff8dc
mediumvioletred	c71585
crimson	dc143c
midnightblue	191970
cyan	00ffff
mintcream	f5fffa
darkblue	00008b
mistyrose	ffe4e1
darkbrown	da0b00
moccasin	ffe4b5
darkcyan	008b8b
navajowhite	ffdead
darkgoldenrod	b8860b
navy	000080
darkgray	a9a9a9
oldlace	fdf5e6
darkgreen	006400
olive	808000
darkkhaki	bdb76b
olivedrab	6b8e23
darkmagenta	8b008b
orange	ffa500
darkolivegreen	556b2f
orangered	ff4500
darkorange	ff8c00
orchid	da70d6
darkorchid	9932cc
palegoldenrod	eee8aa
darkred	8b0000
palegreen	98fb98
darksalmon	e9967a
paleturquoise	afeeee
darkseagreen	8fbc8f
palevioletred	db7093
darkslateblue	483d8b
papayawhip	ffefd5
darkslategray	2f4f4f
peachpuff	ffdab9
darkturquoise	00ced1
peru	cd853f
darkviolet	9400d3
pink	ffc0cb
deeppink	ff1493
plum	dda0dd
deepskyblue	00bfff
powderblue	b0e0e6
dimgray	696969
purple	800080
dodgerblue	1e90ff
red	ff0000
feldsper	fed0e0
richblue	0cb0e0
firebrick	b22222
rosybrown	bc8f8f
floralwhite	fffaf0
royalblue	4169e1
forestgreen	228b22
saddlebrown	8b4513
fuchsia	ff00ff
salmon	fa8072
gainsboro	dcdcdc
sandybrown	f4a460
ghostwhite	f8f8ff
seagreen	2e8b57
gold	ffd700
seashell	fff5ee
goldenrod	daa520
sienna	a0522d
gray	808080
silver	c0c0c0
green	008000
skyblue	87ceeb
greenyellow	adff2f
slateblue	6a5acd
honeydew	f0fff0
slategray	708090
hotpink	ff69b4
snow	fffafa
indianred	cd5c5c
springgreen	00ff7f
indigo	4b0082
steelblue	4682b4
ivory	fffff0
tan	d2b48c
khaki	f0e68c
teal	008080
lavender	e6e6fa
thistle	d8bfd8
lavenderblush	fff0f5
tomato	ff6347
lawngreen	7cfc00
turquoise	40e0d0
lemonchiffon	fffacd
violet	ee82ee
lightblue	add8e6
wheat	f5deb3
lightcoral	f08080
white	ffffff
lightcyan	e0ffff
whitesmoke	f5f5f5
lightgoldenrodyellow	fafad2
yellow	ffff00
yellowgreen	9acd32
